School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'RANCH CREEK ELEMENTARY',9,9,9,7,9,9,9,8,9,9,460,0.004348,0.023913,0.036957,0.121739,0.773913,0.002174,0.036957,0.1164,0.074449,0.804114,0.611,0.59,COLORADO SPRINGS,80924,9155 TUTT BOULEVARD
'ROCKRIMMON ELEMENTARY SCHOOL',7,10,10,10,10,9,6,6,6,6,344,0.005814,0.031977,0.031977,0.127907,0.729651,0,0.072674,0.1773,0.18777,0.788041,0.573,0.649,COLORADO SPRINGS,80919,194 W MIKADO DRIVE
'TCA COLLEGE PATHWAYS',10,13,13,11,13,12,9,9,7,10,424,0.004717,0.009434,0.011792,0.068396,0.860849,0.009434,0.035377,0.0354,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,12201 CROSS PEAK VIEW
'THE CLASSICAL ACADEMY CHARTER',9,10,11,10,10,9,7,6,6,7,2051,0.004388,0.030229,0.015115,0.08825,0.821063,0.00195,0.039005,0.0546,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,975 STOUT ROAD
'THE CLASSICAL ACADEMY HIGH SCHOOL',13,13,12,12,12,13,9,9,9,9,589,0,0.013582,0.027165,0.059423,0.860781,0.003396,0.035654,0.0526,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,975 STOUT ROAD
'THE CLASSICAL ACADEMY MIDDLE SCHOOL',12,12,12,12,12,12,10,12,9,7,434,0,0.018433,0.018433,0.078341,0.845622,0,0.039171,0.0645,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,975 STOUT ROAD
'THE DA VINCI ACADEMY SCHOOL',8,9,9,9,9,9,7,6,6,7,397,0.007557,0.065491,0.037783,0.103275,0.707809,0.005038,0.073048,0.0907,0.082265,0.83179,0.66,0.686,COLORADO SPRINGS,80921,1335 BRIDLE OAK LANE
'TIMBERVIEW MIDDLE SCHOOL',7,9,9,9,9,9,6,6,8,6,1076,0.003717,0.026022,0.039963,0.1329,0.73513,0.001859,0.060409,0.158,0.16435,0.80421,0.576,0.584,COLORADO SPRINGS,80920,8680 SCARBOROUGH DRIVE
'WOODMEN-ROBERTS ELEMENTARY SCHOOL',9,10,10,9,11,10,7,9,6,8,367,0.002725,0.040872,0.016349,0.103542,0.79564,0,0.040872,0.0968,0.18777,0.788041,0.573,0.649,COLORADO SPRINGS,80919,8365 ORCHARD PATH ROAD
'ACADEMY OF CHARTER SCHOOLS',7,8,8,9,7,7,6,6,6,7,1798,0.006674,0.058954,0.016129,0.255284,0.64238,0.001112,0.019466,0.0846,0.252513,0.645242,0.389,0.364,WESTMINSTER,80031,11800 LOWELL BLVD
'ACADEMY OF CHARTER SCHOOLS',6,6,7,6,6,6,4,6,4,3,1798,0.006674,0.058954,0.016129,0.255284,0.64238,0.001112,0.019466,0.0846,0.252513,0.645242,0.389,0.364,WESTMINSTER,80031,11800 LOWELL BLVD
'ACADEMY OF CHARTER SCHOOLS',7,6,7,6,7,6,6,8,5,6,1798,0.006674,0.058954,0.016129,0.255284,0.64238,0.001112,0.019466,0.0846,0.252513,0.645242,0.389,0.364,WESTMINSTER,80031,11800 LOWELL BLVD
'ARAPAHOE RIDGE ELEMENTARY SCHOOL',9,9,8,9,7,9,9,6,9,10,593,0.003373,0.037099,0.011804,0.263069,0.662732,0,0.021922,0.3153,0.33455,0.401003,0.08,0.18,WESTMINSTER,80030,13095 PECOS STREET
'CENTENNIAL ELEMENTARY SCHOOL',6,5,5,5,3,6,6,6,7,5,454,0.004405,0.057269,0.011013,0.405286,0.508811,0,0.013216,0.5529,0.218034,0.742388,0.514,0.386,EVANS,80620,1400  37TH STREET
'CENTURY MIDDLE SCHOOL',6,7,6,7,6,9,6,6,5,6,1081,0.009251,0.056429,0.028677,0.219241,0.6716,0,0.014801,0.2794,0.139514,0.770419,0.402,0.285,THORNTON,80241,13000 LAFAYETTE STREET
'CHERRY DRIVE ELEMENTARY SCHOOL',5,5,5,6,4,4,6,6,6,6,476,0.006303,0.039916,0.021008,0.317227,0.60084,0.002101,0.012605,0.3634,0.22486,0.57621,0.214,0.167,THORNTON,80233,11500 CHERRY DRIVE
'COLORADO VIRTUAL ACADEMY (COVA)',1,4,5,4,4,6,1,1,1,1,5013,0.017953,0.015161,0.046679,0.117893,0.797925,0.002593,0.001795,0.2292,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,"11990 GRANT STREET, #402"
'COLORADO VIRTUAL ACADEMY (COVA)',3,5,5,4,5,3,2,5,2,3,5013,0.017953,0.015161,0.046679,0.117893,0.797925,0.002593,0.001795,0.2292,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,"11990 GRANT STREET, #402"
'COLORADO VIRTUAL ACADEMY (COVA)',2,6,6,5,6,6,6,7,6,6,5013,0.017953,0.015161,0.046679,0.117893,0.797925,0.002593,0.001795,0.2292,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,"11990 GRANT STREET, #402"
'CORONADO HILLS ELEMENTARY SCHOOL',1,2,2,3,1,2,2,1,4,3,547,0.001828,0.003656,0.007313,0.857404,0.122486,0,0.007313,0.9068,0.291588,0.402103,0.137,0.094,THORNTON,80229,8300 DOWNING DRIVE
'COTTON CREEK ELEMENTARY SCHOOL',7,6,6,7,6,8,6,5,6,9,614,0.008143,0.053746,0.016287,0.18241,0.698697,0.001629,0.039088,0.2443,0.33455,0.401003,0.08,0.18,WESTMINSTER,80030,11100 VRAIN STREET
'COYOTE RIDGE ELEMENTARY SCHOOL',9,10,9,11,10,9,7,7,6,6,527,0,0.089184,0.005693,0.077799,0.806452,0,0.020873,0.0455,0.218034,0.742388,0.514,0.386,FORT COLLINS,80525,7115 AVONDALE ROAD
'EAGLEVIEW ELEMENTARY SCHOOL',8,8,6,9,7,7,7,8,8,6,614,0.006515,0.066775,0.013029,0.216612,0.680782,0.001629,0.014658,0.1922,0.139514,0.770419,0.402,0.285,THORNTON,80241,4601 SUMMIT GROVE PARKWAY
'FEDERAL HEIGHTS ELEMENTARY SCHOOL',3,1,1,3,1,2,4,4,6,6,651,0.003072,0.001536,0.003072,0.84639,0.144393,0,0.001536,0.9201,0.378916,0.403135,0.106,0.107,DENVER,80221,2500 W 96TH AVENUE
'GLACIER PEAK ELEMENTARY SCHOOL',8,6,6,6,6,6,9,9,9,6,527,0.001898,0.053131,0.013283,0.360531,0.548387,0.001898,0.020873,0.3359,0.163363,0.636364,0.155,0.242,BRIGHTON,80605,12060 JASMINE STREET
'HILLCREST ELEMENTARY SCHOOL',1,3,3,5,1,3,3,4,2,1,477,0.004193,0.102725,0.016771,0.591195,0.266247,0.002096,0.016771,0.761,0.378916,0.403135,0.106,0.107,NORTHGLENN,80221,10335 CROKE DRIVE
'HORIZON HIGH SCHOOL',6,6,6,7,6,6,6,6,6,5,1901,0.007891,0.048922,0.015255,0.251447,0.669122,0.001052,0.006312,0.091,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,5321 EAST 136TH AVENUE
'HULSTROM OPTIONS K-8 SCHOOL',13,13,13,13,13,13,12,10,10,12,775,0.003871,0.165161,0.018065,0.112258,0.659355,0.009032,0.032258,0.0723,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11551 WYCO DRIVE
'HULSTROM OPTIONS K-8 SCHOOL',10,13,12,13,13,12,6,7,6,6,775,0.003871,0.165161,0.018065,0.112258,0.659355,0.009032,0.032258,0.0723,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11551 WYCO DRIVE
'HUNTERS GLEN ELEMENTARY SCHOOL',7,8,7,9,8,9,6,6,6,5,609,0.01642,0.064039,0.029557,0.151067,0.724138,0,0.014778,0.1856,0.139514,0.770419,0.402,0.285,THORNTON,80241,13222 CORONA STREET
'LEGACY HIGH SCHOOL',9,10,9,11,9,9,8,8,7,7,2066,0.00484,0.085189,0.018877,0.169894,0.71394,0.000484,0.006776,0.1631,0.218034,0.742388,0.514,0.386,BROOMFIELD,80020,2701 WEST 136TH STREET
'LEROY DRIVE ELEMENTARY SCHOOL',3,6,5,6,6,5,3,1,4,1,486,0,0.032922,0.039095,0.477366,0.438272,0.002058,0.010288,0.6564,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,1451 EAST LEROY DRIVE
'MALLEY DRIVE ELEMENTARY SCHOOL',5,4,4,5,3,3,5,5,5,6,396,0.007576,0.037879,0.022727,0.489899,0.419192,0.002525,0.020202,0.75,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,1300 EAST MALLEY DRIVE
'MC ELWAIN ELEMENTARY SCHOOL',5,1,1,1,1,3,6,6,9,6,439,0.006834,0.004556,0.038724,0.833713,0.104784,0,0.01139,0.9339,0.291588,0.402103,0.137,0.094,THORNTON,80229,1020 DAWSON DRIVE
'MERIDIAN ELEMENTARY SCHOOL',11,10,10,11,9,10,10,10,9,9,592,0.003378,0.055743,0.011824,0.077703,0.829392,0.001689,0.02027,0.0389,0.218034,0.742388,0.514,0.386,BROOMFIELD,80020,14256 MCKAY PARK CIRCLE
'MOUNTAIN RANGE HIGH SCHOOL',6,6,6,6,6,6,6,6,6,7,1985,0.007053,0.047859,0.024685,0.257431,0.652393,0.003023,0.007557,0.27,0.368448,0.631373,0.376,0.357,WESTMINSTER,80234,12500 HURON STREET
'MOUNTAIN VIEW ELEMENTARY SCHOOL',9,9,6,9,9,9,9,7,9,10,650,0.001538,0.078462,0.016923,0.169231,0.712308,0,0.021538,0.2492,0.218034,0.742388,0.514,0.386,WINDSOR,80550,810 THIRD STREET
'NORTH MOR ELEMENTARY SCHOOL',5,3,2,3,1,3,6,5,9,6,430,0.002326,0.02093,0.039535,0.611628,0.32093,0.002326,0.002326,0.8372,0.378916,0.403135,0.106,0.107,NORTHGLENN,80221,9580 DAMON DRIVE
'NORTH STAR ELEMENTARY SCHOOL',5,2,1,3,1,3,6,11,6,6,467,0.008565,0.004283,0.036403,0.798715,0.139186,0,0.012848,0.8994,0.378916,0.403135,0.106,0.107,DENVER,80221,8740 NORTH STAR DRIVE
'NORTHGLENN HIGH SCHOOL',3,3,3,5,3,4,6,6,6,5,1731,0.008088,0.046216,0.031196,0.557481,0.350664,0,0.006355,0.3125,0.378916,0.403135,0.106,0.107,NORTHGLENN,80221,601 WEST 100TH PLACE
'NORTHGLENN MIDDLE SCHOOL',6,6,6,6,5,6,7,9,6,6,739,0.006766,0.032476,0.040595,0.511502,0.399188,0.001353,0.008119,0.7091,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,1123 MURIEL DRIVE
'PRAIRIE HILLS ELEMENTARY SCHOOL',10,6,6,7,6,6,12,9,9,13,482,0.002075,0.056017,0.014523,0.116183,0.788382,0,0.022822,0.0726,0.128214,0.815745,0.482,0.333,COLORADO SPRINGS,80920,8025 TELEGRAPH DRIVE
'PROSPECT RIDGE ACADEMY',10,10,12,9,9,11,8,9,6,8,516,0,0.071705,0.00969,0.05814,0.827519,0,0.032946,0.0484,0.291588,0.402103,0.137,0.094,THORNTON,80229,550 EAST THORNTON PKWY
'RIVERDALE ELEMENTARY SCHOOL',5,6,6,6,6,6,5,5,6,3,444,0.004505,0.04955,0.02027,0.344595,0.56982,0.002252,0.009009,0.4347,0.22486,0.57621,0.214,0.167,THORNTON,80233,10724 ELM DRIVE
'ROCKY MOUNTAIN ELEMENTARY SCHOOL',5,3,3,3,1,4,6,5,6,6,486,0.00823,0.039095,0.022634,0.602881,0.300412,0,0.026749,0.7922,0.33455,0.401003,0.08,0.18,CLIFTON,81520,3260 D1/2 ROAD
'ROCKY TOP MIDDLE SCHOOL',9,9,8,10,9,11,6,6,6,6,1114,0.006284,0.070018,0.01526,0.175045,0.724417,0,0.008977,0.1427,0.128214,0.815745,0.482,0.333,THORNTON,80602,14150 YORK STREET
'SHADOW RIDGE MIDDLE SCHOOL',6,6,6,6,5,6,6,7,6,5,1025,0.010732,0.045854,0.022439,0.322927,0.580488,0.003902,0.013659,0.3746,0.128214,0.815745,0.482,0.333,THORNTON,80602,12551 HOLLY STREET
'SILVER CREEK ELEMENTARY',9,9,9,10,9,9,7,6,8,6,650,0.001538,0.056923,0.018462,0.135385,0.761538,0,0.026154,0.0508,0.128214,0.815745,0.482,0.333,THORNTON,80602,15101 FILLMORE STRE
'SILVER HILLS MIDDLE SCHOOL',6,6,6,6,6,7,6,5,6,6,1092,0.00641,0.049451,0.033883,0.336996,0.558608,0.000916,0.013736,0.4313,0.368448,0.631373,0.376,0.357,NORTHGLENN,80234,12400 HURON STREET
'SKYVIEW ELEMENTARY SCHOOL',9,6,6,7,6,6,9,9,9,7,500,0.008,0.048,0.02,0.294,0.624,0,0.006,0.348,0.139514,0.770419,0.402,0.285,WINDSOR,80550,1000 STONE MOUNTAIN DRIVE
'STARGATE CHARTER SCHOOL',9,12,12,12,11,12,8,6,7,9,643,0,0.174184,0.009331,0.082426,0.693624,0.001555,0.03888,0.0202,0.139514,0.770419,0.402,0.285,THORNTON,80241,3951 COTTONWOODLAKES BOULEVARD
'STARGATE CHARTER SCHOOL',13,13,13,13,13,13,12,9,12,12,643,0,0.174184,0.009331,0.082426,0.693624,0.001555,0.03888,0.0202,0.139514,0.770419,0.402,0.285,THORNTON,80241,3951 COTTONWOODLAKES BOULEVARD
'STELLAR ELEMENTARY SCHOOL',6,6,6,7,6,6,6,9,6,5,606,0.009901,0.070957,0.016502,0.346535,0.536304,0.00165,0.018152,0.3828,0.139514,0.770419,0.402,0.285,THORNTON,80241,3901 EAST 124TH AVENUE
'STEM SCHOOL',9,10,10,12,9,12,6,6,9,3,407,0.007371,0.071253,0.022113,0.132678,0.737101,0,0.029484,0.1646,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11700 IRMA DRIVE
'STEM SCHOOL',8,12,10,12,11,6.718607,6,7,7,3,407,0.007371,0.071253,0.022113,0.132678,0.737101,0,0.029484,0.1646,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11700 IRMA DRIVE
'STUKEY ELEMENTARY SCHOOL',3,3,3,5,3,4,5,5,5,6,400,0.0075,0.03,0.0325,0.555,0.3475,0.0025,0.025,0.8025,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11080 GRANT DRIVE
'TARVER ELEMENTARY SCHOOL',9,7,6,8,6,7,10,7,11,9,445,0.008989,0.040449,0.01573,0.168539,0.739326,0.002247,0.024719,0.1798,0.139514,0.770419,0.402,0.285,THORNTON,80241,3500 SUMMIT GROVE PARKWAY
'THE STUDIO SCHOOL',4,6,7,6,6,5,1,1,4,1,279,0.021505,0.046595,0.035842,0.229391,0.645161,0,0.021505,0.319,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,10604 GRANT DRIVE
'THORNTON ELEMENTARY SCHOOL',2,1,1,3,1,1,3,3,9,1,434,0.006912,0.050691,0.023041,0.656682,0.253456,0.004608,0.004608,0.871,0.291588,0.402103,0.137,0.094,THORNTON,80229,900 EPPINGER BOULEVARD
'THORNTON HIGH SCHOOL',3,5,4,6,5,5,6,6,6,6,1713,0.007005,0.077058,0.032107,0.558085,0.31582,0.001168,0.008757,0.4156,0.291588,0.402103,0.137,0.094,THORNTON,80229,9351 WASHINGTON STREET
'THORNTON MIDDLE SCHOOL',3,1,1,3,1,2,4,3,6,3,702,0.004274,0.025641,0.038462,0.74359,0.176638,0.002849,0.008547,0.886,0.291588,0.402103,0.137,0.094,THORNTON,80229,9451 HOFFMAN WAY
'WESTGATE CHARTER',5,7,8,7,6,7,3,4,2,5,301,0,0.036545,0.009967,0.116279,0.807309,0,0.0299,0.0399,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11700 IRMA DRIVE
'WESTGATE CHARTER',6,8,7,9,8,6,5,5,5,6,301,0,0.036545,0.009967,0.116279,0.807309,0,0.0299,0.0399,0.22486,0.57621,0.214,0.167,NORTHGLENN,80233,11700 IRMA DRIVE
'WESTLAKE MIDDLE SCHOOL',9,9,6,10,7,9,9,6,10,6,985,0.004061,0.083249,0.019289,0.198985,0.678173,0.00203,0.014213,0.2558,0.218034,0.742388,0.514,0.386,BROOMFIELD,80020,2800 WEST 135TH AVENUE
'WESTVIEW ELEMENTARY SCHOOL',5,6,5,6,5,5,6,6,6,6,449,0,0.064588,0.020045,0.454343,0.429844,0,0.03118,0.5947,0.368448,0.631373,0.376,0.357,NORTHGLENN,80234,1300 ROSEANNA DRIVE
'WOODGLEN ELEMENTARY SCHOOL',6,6,6,6,6,6,5,5,5,6,362,0.005525,0.033149,0.019337,0.372928,0.549724,0.002762,0.016575,0.4006,0.22486,0.57621,0.214,0.167,THORNTON,80233,11717 MADISON STREET
'ADAMS CITY HIGH SCHOOL',1,1,1,2,1,1,1,1,1,1,1689,0.007105,0.004144,0.033748,0.828301,0.123742,0.000592,0.002368,0.8076,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,7200 QUEBEC PARKWAY
'ADAMS CITY MIDDLE SCHOOL',4,3,2,3,3,5,6,3,6,6,740,0.006757,0.001351,0.017568,0.806757,0.160811,0,0.006757,0.8851,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,4451 EAST 72ND AVENUE
'ALSUP ELEMENTARY SCHOOL',4,3,5,2,5,2,5,6,1,6,598,0.006689,0.001672,0.026756,0.797659,0.155518,0,0.011706,0.8946,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,7101 BIRCH STREET
'CENTRAL ELEMENTARY SCHOOL',3,1,3,1,2,3,6,6,3,5,624,0.001603,0.003205,0.035256,0.826923,0.13141,0,0.001603,0.9025,0.28655,0.483903,0.211,0.169,LONGMONT,80501,1020 4TH AVENUE
'DUPONT ELEMENTARY SCHOOL',4,3,5,1,3,3,5,5,6,3,562,0.010676,0.001779,0.010676,0.823843,0.145907,0,0.007117,0.9075,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,7970 KIMBERLY STREET
'HANSON ELEMENTARY SCHOOL',8,3,3,1,3,1,10,10,9,13,388,0.007732,0.002577,0.015464,0.876289,0.092784,0,0.005155,0.8812,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,7133 EAST 73RD AVENUE
'KEARNEY MIDDLE SCHOOL',5,3,3,5,3,4,6,5,9,6,697,0.004304,0.001435,0.034433,0.852224,0.098996,0,0.008608,0.8867,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,6160 KEARNEY STREET
'KEMP ELEMENTARY SCHOOL',6,4,4,3,4,6,6,6,5,6,482,0.008299,0,0.018672,0.827801,0.128631,0,0.016598,0.8881,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,6775 ONEIDA STREET
'MONACO ELEMENTARY SCHOOL',5,3,3,4,3,3,6,6,4,5,583,0.008576,0,0.018868,0.833619,0.12693,0,0.012007,0.8834,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,7631 MONACO BOULEVARD
'ROSE HILL ELEMENTARY SCHOOL',1,3,4,3,3,3,3,2,3,7,535,0.013084,0.005607,0.016822,0.824299,0.136449,0,0.003738,0.9008,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,6900 EAST 58TH AVENUE
'ALTURA ELEMENTARY SCHOOL',6,1,1,2,1,3,6,9,12,9,507,0.009862,0.013807,0.080868,0.745562,0.118343,0.001972,0.029586,0.9524,0.402318,0.323802,0.126,0.139,AURORA,80011,1650 ALTURA BLVD
'ARKANSAS ELEMENTARY SCHOOL',1,3,3,1,3,1,3,2,3,3,513,0.005848,0.035088,0.255361,0.423002,0.224172,0.001949,0.054581,0.5914,0.351238,0.487549,0.225,0.216,AURORA,80017,17301 EAST ARKANSAS AVE
'AURORA ACADEMY CHARTER SCHOOL',6,6,6,6,6,6,6,6,5,6,518,0.009653,0.025097,0.245174,0.260618,0.38417,0.001931,0.073359,0.417,0.408398,0.234598,0.098,0.121,AURORA,80010,10251 EAST 1ST AVE
'AURORA ACADEMY CHARTER SCHOOL',10,9,9,9,8,7,10,9,10,9,518,0.009653,0.025097,0.245174,0.260618,0.38417,0.001931,0.073359,0.417,0.408398,0.234598,0.098,0.121,AURORA,80010,10251 EAST 1ST AVE
'AURORA CENTRAL HIGH SCHOOL',1,1,1,3,1,1,6,5,6,6,2235,0.006711,0.076063,0.159284,0.668456,0.061745,0.005817,0.021924,0.7092,0.408398,0.234598,0.098,0.121,AURORA,80010,11700 EAST 11TH AVE
