School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher
'REDSTONE ELEMENTARY SCHOOL',12,12,10,12,10,10,12,9,12,13,719,0.001391,0.06815,0.009736,0.080668,0.798331,0.004172,0.037552,0.014,0.1502,0.842288,0.698,0.565
'WILLOW CREEK ELEMENTARY SCHOOL',12,13,12,12,12,13,12,9,12,12,548,0.005474,0.125912,0.018248,0.076642,0.731752,0,0.041971,0.04,0.246199,0.706553,0.593,0.63
'MONTESSORI PEAKS CHARTER ACADEMY',12,6.810069,10,7,12,6.785469,12,12,9,12,512,0.003906,0.033203,0,0.054688,0.892578,0.003906,0.011719,0.105,0.192921,0.732433,0.498,0.491
'BRIGGSDALE UNDIVIDED HIGH SCHOOL',11,9,8,7,8,13,11,9,12,9,79,0,0.037975,0,0.139241,0.822785,0,0,0.506,0.217949,0.66,0.182,0.195
'CALICHE JUNIOR-SENIOR HIGH SCHOOL',11,8,9,6,9,9,12,9,11,12,124,0.008065,0,0.008065,0.153226,0.822581,0,0.008065,0.379,0.207547,0.440217,0.235,0.098
'DOLORES HIGH SCHOOL',11,9,9,9,7,9,12,9,12,11,195,0.046154,0.005128,0.005128,0.046154,0.897436,0,0,0.251,0.090739,0.488614,0.268,0.319
'FAIRVIEW HIGH SCHOOL',11,13,12,13,12,11,6,6,7,6,1973,0.005575,0.098834,0.005575,0.070451,0.783578,0.000507,0.035479,0.065,0.173833,0.798784,0.876,0.75
'HIGH PEAKS ELEMENTARY SCHOOL',12,13,13,13,13,13,12,12,12,12,317,0,0.116719,0.006309,0.116719,0.697161,0.003155,0.059937,0.09,0.21971,0.737669,0.748,0.722
'LOIS LENSKI ELEMENTARY SCHOOL',12,12,12,12,12,10,10,10,9,9,621,0.003221,0.030596,0.004831,0.088567,0.821256,0.00161,0.049919,0.066,0.132817,0.752447,0.43,0.591
'MCGRAW ELEMENTARY SCHOOL',12,10,10,11,10,10,12,11,11,11,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.152,0.224761,0.60171,0.512,0.495
'MOUNTAIN VISTA HIGH SCHOOL',11,12,12,12,12,10,6,6,6,7,2036,0.002456,0.044204,0.012279,0.096267,0.808939,0.001473,0.034381,0.058,0.136388,0.868132,0.667,0.642
'FLAGLER SENIOR HIGH SCHOOL',11,10,12,9,10,7,11,9,9,12,43,0,0,0.023256,0.023256,0.953488,0,0,0.442,0.285714,0.47191,0.126,0.201
'SPRINGFIELD HIGH SCHOOL',10,9,9,9,9,7,12,9,9,12,88,0,0,0.011364,0.136364,0.784091,0,0.068182,0.545,0.185792,0.326996,0.207,0.183
'TELLURIDE HIGH SCHOOL',10,12,12,11,11,12,9,11,9,6,177,0.00565,0.011299,0.00565,0.152542,0.80791,0,0.016949,0.198,0.249465,0.763069,0.6,0.619
'HERITAGE ELEMENTARY SCHOOL',12,10,9,12,10,12,11,9,9,12,360,0.011111,0.158333,0.036111,0.136111,0.625,0,0.033333,0.11,0.576404,0.257418,0.131,0.191
'WERNER ELEMENTARY SCHOOL',12,12,12,12,12,12,10,12,6,12,503,0,0.045726,0.001988,0.043738,0.868787,0.001988,0.037773,0.072,0.119355,0.687251,0.597,0.525
'ASPEN MIDDLE SCHOOL',12,9,9,9,10,11,10,10,9,9,468,0,0.017094,0.002137,0.123932,0.856838,0,0,0.073,0.214965,0.752717,0.542,0.615
'CHALLENGE SCHOOL',12,13,13,13,13,13,9,9,9,9,535,0.001869,0.207477,0.071028,0.119626,0.53271,0.003738,0.063551,0.045,0.365584,0.409034,0.462,0.491
'CHALLENGE SCHOOL',12,13,13,13,13,13,11,12,7,12,535,0.001869,0.207477,0.071028,0.119626,0.53271,0.003738,0.063551,0.045,0.365584,0.409034,0.462,0.491
'STARGATE CHARTER SCHOOL',12,13,13,12,13,13,10,7,9,12,645,0,0.089922,0.00155,0.074419,0.796899,0,0.037209,0.034,0.141522,0.793914,0.433,0.285
'CORE KNOWLEDGE CHARTER SCHOOL',12,12,12,13,12,10,11,9,10,12,454,0,0.035242,0.002203,0.028634,0.909692,0.006608,0.017621,0.031,0.150623,0.81402,0.563,0.42
'LITTLETON ACADEMY',12,13,13,13,13,12,10,6,9,12,465,0.002151,0.11828,0.002151,0.062366,0.767742,0,0.047312,0.043,0.282369,0.611477,0.442,0.485
'PAONIA HIGH SCHOOL',10,9,9,7,9,9,9,9,7,9,250,0.012,0.004,0,0.1,0.856,0,0.028,0.328,0.350329,0.43761,0.203,0.325
'HIGHLANDS RANCH HIGH SCHOOL',10,11,10,10,11,10,9,9,6,12,1742,0.007463,0.059701,0.026406,0.128588,0.744546,0,0.033295,0.08,0.1502,0.842288,0.698,0.565
'ELBERT JUNIOR-SENIOR HIGH SCHOOL',10,9,9,7,9,9,9,9,9,9,111,0.009009,0.018018,0,0.018018,0.918919,0,0.036036,0.306,0.156344,0.729595,0.39,0.421
'LEWIS-PALMER HIGH SCHOOL',10,12,11,12,12,12,6,6,6,6,910,0.002198,0.025275,0.012088,0.068132,0.847253,0,0.045055,0.058,0.06079,0.853646,0.677,0.598
'DOVE CREEK HIGH SCHOOL',10,6.810069,6,6,6,6.785469,9,9,9,8,126,0.071429,0,0.02381,0.039683,0.825397,0.02381,0.015873,0.444,0.172222,0.412048,0,0.175
'FOSSIL RIDGE HIGH SCHOOL',10,12,10,11,12,12,6,6,6,6,1917,0.005216,0.022953,0.008868,0.08242,0.84507,0.002608,0.032864,0.099,0.169774,0.687954,0.599,0.589
'BOULDER HIGH SCHOOL',10,10,9,12,10,10,7,5,9,6,1780,0.002247,0.04382,0.020225,0.16573,0.734831,0.001124,0.032022,0.165,0.147704,0.718642,0.8,0.714
'ZACH ELEMENTARY SCHOOL',12,13,13,12,12,13,12,10,10,12,607,0,0.047776,0.003295,0.036244,0.897858,0,0.014827,0.033,0.169774,0.687954,0.599,0.589
'BROMWELL ELEMENTARY SCHOOL',12,12,12,12,12,10,12,10,9,12,317,0.003155,0.047319,0.018927,0.107256,0.776025,0.003155,0.044164,0.076,0.244731,0.752077,0.71,0.662
'BYERS JUNIOR-SENIOR HIGH SCHOOL',10,9,10,6,9,10,13,13,7,13,209,0,0,0.009569,0.076555,0.899522,0.004785,0.009569,0.344,0.086522,0.593145,0.169,0.144
'SOROCO HIGH SCHOOL',10,9,9,9,9,9,9,7,12,9,104,0,0.019231,0,0.038462,0.942308,0,0,0.269,0.126706,0.619236,0.459,0.209
'UNION COLONY PREPARATORY SCHOOL',10,10,12,8,10,12,7,7,9,5,408,0.009804,0.036765,0.019608,0.259804,0.664216,0.007353,0.002451,0.208,0.216954,0.578208,0.331,0.331
'MEAD MIDDLE SCHOOL',12,10,10,9,10,10,13,13,13,13,381,0.005249,0.018373,0.002625,0.107612,0.858268,0.007874,0,0.176,0.140334,0.670987,0.425,0.346
'CHERRY CREEK HIGH SCHOOL',10,12,11,12,12,12,7,6,7,6,3443,0.003485,0.084519,0.033982,0.093814,0.763869,0.001162,0.019169,0.086,0.186718,0.803353,0.69,0.712
'STONE MOUNTAIN ELEMENTARY',12,12,12,12,12,9,12,11,12,11,446,0,0.026906,0.013453,0.05157,0.892377,0,0.015695,0.013,0.090172,0.901475,0.622,0.582
'CARSON ELEMENTARY SCHOOL',12,10,9,10,10,11,12,12,12,12,400,0.005,0.045,0.06,0.165,0.645,0,0.08,0.191,0.290805,0.661001,0.637,0.586
'BRECKENRIDGE ELEMENTARY SCHOOL',12,10,10,10,9,10,13,13,12,13,205,0,0,0,0.029268,0.931707,0,0.039024,0.083,0.168198,0.665208,0.552,0.559
'CREEDE MIDDLE/HIGH SCHOOL',10,9,9,9,7,12,9,9,10,7,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.432,0,0.652174,0.333,0.476
'LEGACY ACADEMY',12,9,10,7,11,9,13,13,12,13,322,0,0,0.009317,0.074534,0.906832,0.009317,0,0.112,0.100378,0.759401,0.417,0.285
'MC CLAVE UNDIVIDED HIGH SCHOOL',10,7,6,9,6,7,9,5,12,9,131,0,0,0,0.343511,0.656489,0,0,0.542,0.276596,0.421488,0.079,0.231
'THUNDERRIDGE HIGH SCHOOL',10,10,11,11,10,9,7,7,6,9,1790,0.004469,0.034078,0.012849,0.120112,0.796648,0.001676,0.030168,0.065,0.090172,0.901475,0.622,0.582
'AIR ACADEMY HIGH SCHOOL',10,11,10,10,11,11,6,6,7,6,1359,0.004415,0.022811,0.022075,0.099338,0.80206,0.005151,0.04415,0.078,0.231469,0.593897,0.506,0.378
'BROOMFIELD HIGH SCHOOL',10,9,9,9,9,9,6,6,7,6,1440,0.009028,0.039583,0.009028,0.118056,0.795139,0.000694,0.028472,0.129,0.218448,0.735466,0.505,0.374
'SOUTH PARK HIGH SCHOOL',10,8,7,9,7,9,10,9,9,10,133,0,0.007519,0,0.150376,0.819549,0,0.022556,0.414,0.416149,0.48723,0.289,0.392
'TIMBER TRAIL ELEMENTARY SCHOOL',12,12,12,12,12,12,12,9,12,10,597,0.001675,0.028476,0.01675,0.085427,0.839196,0.001675,0.026801,0.035,0.11606,0.842772,0.69,0.632
'GYPSUM CREEK MIDDLE SCHOOL',12,8,7,6,9,12,12,12,12,12,334,0.008982,0.008982,0.002994,0.643713,0.317365,0.002994,0.01497,0.563,0.138287,0.658933,0.22,0.281
'BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES',12,11,12,10,11,12,10,9,9,11,300,0,0.04,0.006667,0.073333,0.833333,0,0.046667,0.197,0.21971,0.737669,0.748,0.722
'DENNISON ELEMENTARY SCHOOL',12,13,13,13,13,13,10,12,9,10,624,0.00641,0.054487,0.004808,0.153846,0.741987,0.001603,0.036859,0.082,0.384211,0.513789,0.243,0.331
'CALHAN HIGH SCHOOL',9,8,7,6,9,7,12,12,9,12,184,0.005435,0.048913,0,0.092391,0.820652,0,0.032609,0.326,0.096242,0.516129,0.126,0.207
'CEDAREDGE HIGH SCHOOL',9,8,6,7,9,8,9,9,8,9,275,0.010909,0.007273,0,0.109091,0.850909,0,0.021818,0.429,0.318004,0.352182,0.318,0.243
'NORTH PARK JUNIOR-SENIOR HIGH SCHOOL',9,10,11,9,12,10,10,7,12,8,99,0,0,0,0.222222,0.767677,0,0.010101,0.525,0.283636,0.495633,0.314,0.261
'PLATTE RIVER CHARTER ACADEMY',12,12,13,12,12,12,10,9,12,7,520,0.003846,0.071154,0.005769,0.063462,0.796154,0,0.059615,0,0.1502,0.842288,0.698,0.565
'HOTCHKISS HIGH SCHOOL',9,8,9,7,9,7,9,10,6,11,252,0.003968,0.011905,0,0.162698,0.801587,0,0.019841,0.429,0.160202,0.335861,0.212,0.186
'PARMALEE ELEMENTARY SCHOOL',12,12,10,12,12,12,12,12,12,11,239,0.016736,0.012552,0,0.058577,0.891213,0,0.020921,0.167,0.059603,0.784768,0.8,0.366
'STEAMBOAT SPRINGS HIGH SCHOOL',9,12,10,12,11,10,6,7,6,7,626,0.00639,0.007987,0.001597,0.08147,0.884984,0.004792,0.01278,0.094,0.168799,0.678012,0.596,0.573
'WILDER ELEMENTARY SCHOOL',12,12,13,12,12,12,9,9,6,12,626,0,0.033546,0.007987,0.078275,0.841853,0,0.038339,0.064,0.192921,0.732433,0.498,0.491
'KYFFIN ELEMENTARY SCHOOL',12,12,12,11,12,12,10,9,10,9,579,0,0.062176,0.001727,0.053541,0.860104,0,0.022453,0.119,0.192433,0.667387,0.536,0.528
'KIM UNDIVIDED HIGH SCHOOL',9,12,10,12,12,10,9,6,12,6,28,0,0,0,0.107143,0.892857,0,0,0.679,0.368421,0.297619,0.056,0.127
'TWIN PEAKS CHARTER ACADEMY',12,9,11,7,12,10,10,10,9,10,707,0.004243,0.168317,0.015559,0.173975,0.609618,0.004243,0.024045,0.25,0.342934,0.41851,0.343,0.294
'BAYFIELD HIGH SCHOOL',9,9,9,8,9,6,9,6,9,9,422,0.047393,0.004739,0,0.085308,0.831754,0,0.030806,0.171,0.22416,0.573333,0.228,0.346
'FRONTIER CHARTER ACADEMY',9,9,9,7,9,9,9,6,10,8,65,0,0,0,0.107692,0.846154,0,0.046154,0.431,0.096242,0.516129,0.126,0.207
'MITCHELL ELEMENTARY SCHOOL',12,11,12,10,10,12,11,12,9,10,583,0.003431,0.027444,0.001715,0.073756,0.857633,0,0.036021,0.132,0.200997,0.797718,0.605,0.468
'STEELE ELEMENTARY SCHOOL',12,12,12,12,12,12,11,9,11,11,475,0.004211,0.012632,0.008421,0.092632,0.863158,0,0.018947,0.112,0.179775,0.808718,0.73,0.651
'SANFORD JUNIOR/SENIOR HIGH SCHOOL',9,9,7,12,9,9,9,9,9,6,140,0.014286,0.007143,0,0.278571,0.685714,0.007143,0.007143,0.579,0.105085,0.363218,0.311,0.2
'HOLLY HIGH SCHOOL',9,7,7,8,7,6,9,10,7,9,81,0,0.012346,0,0.419753,0.555556,0,0.012346,0.667,0.28866,0.394089,0.317,0.23
'COLORADO SPRINGS CHARTER ACADEMY',12,10,10,9,12,9,11,9,11,11,405,0,0.009877,0.024691,0.185185,0.765432,0.002469,0.012346,0.316,0.423597,0.375515,0.172,0.243
'MERIDIAN ELEMENTARY SCHOOL',12,10,12,12,9,10,10,10,9,9,653,0.001531,0.022971,0.009188,0.078101,0.8683,0.001531,0.018377,0.035,0.218448,0.735466,0.505,0.374
'BLACK ROCK ELEMENTARY',12,10,9,11,9,9,11,9,12,10,762,0.002625,0.031496,0.011811,0.070866,0.877953,0,0.005249,0.048,0.129013,0.827062,0.579,0.458
'RIFFENBURGH ELEMENTARY SCHOOL',12,9,9,9,9,9,12,12,12,10,353,0.005666,0.016997,0.002833,0.186969,0.72238,0,0.065156,0.287,0.119355,0.687251,0.597,0.525
'STRASBURG HIGH SCHOOL',9,6,6,6,6,6,9,7,9,9,318,0.012579,0.022013,0.031447,0.081761,0.852201,0,0,0.17,0.127056,0.696085,0.183,0.154
'SUMMIT MIDDLE CHARTER SCHOOL',12,13,13,13,13,13,10,8,9,12,336,0.008929,0.142857,0.005952,0.050595,0.729167,0,0.0625,0.03,0.173833,0.798784,0.876,0.75
'BASALT MIDDLE SCHOOL',12,6,6,6,9,6,13,13,13,13,406,0.004926,0.004926,0.002463,0.566502,0.403941,0,0.017241,0.498,0.064103,0.693161,0.539,0.454
'CRESTED BUTTE COMMUNITY SCHOOL',12,10,10,7,12,11,12,9,10,12,553,0.003617,0.007233,0.001808,0.027125,0.929476,0.003617,0.027125,0.098,0.196491,0.621134,0.753,0.357
'JAMES IRWIN CHARTER HIGH SCHOOL',9,9,9,9,10,9,6,6,6,6,388,0.025773,0.064433,0.128866,0.226804,0.551546,0,0.002577,0.296,0.420069,0.318747,0.161,0.126
